순번;자치단체;시설유형;시설구분;시설명;건립일;운영방식;건물면적(㎡);토지면적(㎡);관리인력;연간이용인원;건립비용;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;비용;수익;순수익
취득가액;감가상각액;감가상각 누계액;장부가액;내용연수
154;인천본청;체육시설;사격장;옥련국제사격장;2014.09.04;위탁;9,999;95,837;11;16,428;34,953;34,953;842;3,787;31,166;40;1,067;100;-967
155;인천본청;체육시설;기타체육시설;강화고인돌체육관/아시아드BMX경기장;2013.11.13;위탁;18,746;77,174;14;43,446;62,387;62,387;1,170;5,265;57,122;40;1,284;65;-1,219
156;인천본청;체육시설;기타체육시설;계양체육관/양궁장/국제벨로드롬;2013.10.02;위탁;28,147;234,872;21;183,488;168,206;168,206;2,010;9,663;158,543;40;2,391;767;-1,624
157;인천본청;체육시설;기타체육시설;남동체육관/럭비경기장;2013.09.27;위탁;44,617;170,161;8;146,237;175,582;175,582;2,785;12,532;160,050;40;1,703;1,019;-684
158;인천본청;체육시설;기타체육시설;문학경기장(야구장포함);2002.02.25;위탁;69,927;432,034;23;1,032,962;330,500;330,500;304;2,317;328,183;40;7,897;11,004;3,108
159;인천본청;체육시설;기타체육시설;선학체육관/하키/빙상장;2014.01.21;위탁;26,919;242,484;35;373,022;185,068;185,068;6,572;27,154;157,914;40;864;720;-144
160;인천본청;체육시설;기타체육시설;송도종합 LNG스포츠타운;2010.02.10;위탁;7,278;98,879;15;139,920;24,706;24,706;561;4,722;17,720;40;1,017;301;-716
161;인천본청;체육시설;기타체육시설;열우물테니스/스쿼시경기장;2013.08.16;위탁;26,723;142,968;55;575,718;150,367;150,367;3,617;16,276;134,091;40;3,575;1,693;-1,882
162;인천본청;체육시설;기타체육시설;인천아시아드주경기장/연희크리켓경기장;2014.04.30;위탁;110,153;623,856;39;273,364;466,515;466,515;6,635;29,829;436,686;40;4,406;3,608;-798
163;인천본청;기타시설;기타시설;하늘문화센터;2011.06.13;위탁;44,024;7,860;13;432,430;23,300;23,300;583;4,563;18,737;40;2,818;2,964;145
